component,3TierSeparation,ADR_SafeQueuingOnHotMiss,ADR_ScalableCodeOffset,AI_Native_Dev,AccessDictionary,Asynchronous_Notification,BinarySearch,BufferedLogging,BumpAllocator,COOS_Deterministic,COOS_Scheduling_Refine,COOS_Transparent,CSPCommunication,CSP_Handoff,Challenge_ApproximateYield,Challenge_CoosBlockedList,Challenge_CspHandoffStarvation,Challenge_DebuggerResource,Challenge_InterruptSafety,Challenge_JITCacheEfficiency,Challenge_SyscallMemorySafety,Challenge_WasiFdWriteLoop,CleanArchitecture,CompileTimeValidation,ComponentHarness,ConceptHarnessDI,ConfigurableSystem,ConsolidatedHeap,ContextPointerRegister,CooperativeMultitasking,Debug_Integrated,Debug_Standard_Env,DebuggerLabelTableSwitch,Debugger_Jit_Flush,DictionaryBasedIPC,DirectContextSwitch,DynamicMmap,EliminateDataRace,EnvironmentPointer,Errorcode_To_Strategy,FastAddressCheck,Fast_Path_GPIO,FaultIsolation,FlatMapIndexed,HAL_Interface,HistoryBuffer,IPCDI,IPCRegistry,IPCRouter,IPC_DropHandler,IPC_HandleBased,IPC_ZeroCopy,IdleDetection,IndependentHeap,InterpreterContextStackless,Interpreter_LazyJITSwitch,InterruptWakeup,IoC,JIT_CopyAndPatch,JIT_DoubleBuffer_Cache,JIT_Encoder,JIT_LazyChaining,JIT_RegisterMapping,JIT_ReverseCompilationOrder,JIT_RuntimeAPI_Fallback,JIT_Safepoint,JIT_ZeroCompileCostTheorem,LightweightVerifier,LowLatencyJIT,LowLatencyLookup,LowOverheadSwitch,MemoryBoundaryCheck,MemoryIsolation,MultiModule_Support,NativeAPI_Export,NoStdVector,NotRTOS,OwnershipTransfer,PeriodicTask,PhysicalPassthrough,Policy_Memory,PositionIndependentCode,ROMParsing,RSPMinimalSet,RSP_Transport_Selectable,RecoveryStrategy,Resource_Estimation_Model,RestrictedPhysicalAccess,Risk_Tiering,RoleBasedAccessControl,ServiceFacade,SimpleJITArchitecture,SinglePassCompilation,Size_15KLOC,SpecificationFirst,StaticDI,StaticScalability,Static_Resolution,StrictMemoryLimit,Syscall_Mapping,Syscall_Return_Value,TaskPollInterruptFlag,ThreadedInterpreter,Trap_Interface,TypeSafeMessaging,Type_Vocabulary,URIAbstraction,UnifiedAccessModel,UseCpp20Coroutine,UseCpp23Library,VDMA,WASI_Async_Bridge,WASI_Implementation,WIT_Common_Types,WIT_First,WIT_Interface_Purpose,WIT_Interface_Spec,Wasm32Only,WasmPageAlignment,ZeroCopyIndexing,ZeroCostAbstraction,ZeroOverhead,ZeroRuntimeOverhead,vMMIO_Isolation,vMMIO_TLB,vMMIO_TrapAndEmulate
docs/components/core/os_coos.md,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docs/components/core/os_scheduler.md,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docs/components/core/system_config.md,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docs/components/core/system_config_details.md,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
docs/components/core/system_logging.md,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
docs/components/core/system_syscall.md,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
docs/components/interface/interface_wit.md,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
docs/components/interface/ipc_router.md,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docs/components/interface/system_service.md,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docs/components/jit/jit_assembler_constexpr.md,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
