identifier,translation
channel,CSPチャネル（channel）
Scheduler,スケジューラクラス（Scheduler）
spawn_task,タスク生成（spawn_task）
yield,実行譲渡（yield）
run,実行（run）
set_idle_handler,アイドルハンドラ設定（set_idle_handler）
terminate,タスク終了（terminate）
Logger,ロガー（Logger）クラス
logging_config,ログ構成（logging_config）
CopyAndPatchEngine,コピーアンドパッチエンジン（CopyAndPatchEngine）クラス
jit_template,命令テンプレート（jit_template）
compile_trace,トレースコンパイル（compile_trace）
JitEntryIndex,JITエントリインデックス（JitEntryIndex）クラス
lookup,検索（lookup）
register_entry,エントリ登録（register_entry）
HotspotDetector,ホットスポット検出器（HotspotDetector）クラス
record_execution,実行記録（record_execution）
process_history,履歴処理（process_history）
jit_harness,JITハーネス（jit_harness）
jit_context,JITコンテキスト（jit_context）
jit_config,JIT構成（jit_config）
initialize,初期化（initialize）
lookup_trace,トレース検索（lookup_trace）
get_card_state,カード状態取得（get_card_state）
get_search_range,検索範囲取得（get_search_range）
process_batch_compile,バッチコンパイル処理（process_batch_compile）
device,デバイス情報（device）
hal_config,HAL構成（hal_config）
allocate,割り当て（allocate）
claim,所有権要求（claim）
deallocate,解放（deallocate）
Interpreter,インタプリタ（Interpreter）クラス
execution_context,実行コンテキスト（execution_context）
call_frame,コールフレーム（call_frame）
control_frame,制御フレーム（control_frame）
interpreter_config,インタプリタ構成（interpreter_config）
opcode_handler,オプコードハンドラ（opcode_handler）
WasmLoader,WASMローダ（WasmLoader）クラス
module_view,モジュールビュー（module_view）
BinaryStream,バイナリストリーム（BinaryStream）
function_accessor,関数アクセサ（function_accessor）
global_accessor,グローバルアクセサ（global_accessor）
verification_result,検証結果（verification_result）
prepare,準備（prepare）
load,ロード（load）
unload,アンロード（unload）
vsoc_harness,vSoCハーネス（vsoc_harness）
vsoc_context,vSoCコンテキスト（vsoc_context）
vsoc_config,vSoC構成（vsoc_config）
step,ステップ実行（step）
kv_pair,Key-Valueペア（kv_pair）
message,IPCメッセージ（message）
registry_entry,レジストリエントリ（registry_entry）
register_service,サービス登録（register_service）
lookup_service,サービス検索（lookup_service）
route_message,メッセージルーティング（route_message）
service,サービス定義（service）
service_config,サービス構成（service_config）
load_service,サービスロード（load_service）
Debugger,デバッガ（Debugger）クラス
virtual_register_set,仮想レジスタセット（virtual_register_set）
