keyword,file_path,heading,line_start
ADR_SafeQueuingOnHotMiss,docs/components/jit/jit_compiler.md,8. 設計判断 (ADR),330
ADR_SafeQueuingOnHotMiss,docs/requires/requirement_list.md,4. 設計課題・制約追跡 (Design Challenges & ADRs),178
ADR_ScalableCodeOffset,docs/components/jit/jit_compiler.md,8. 設計判断 (ADR),330
ADR_ScalableCodeOffset,docs/requires/requirement_list.md,4. 設計課題・制約追跡 (Design Challenges & ADRs),178
Asynchronous_Notification,docs/components/core/system_syscall.md,7. WASIホスト側実装,242
Asynchronous_Notification,docs/components/core/system_syscall.md,8. ホストからゲストへの非同期通知メカニズム,256
Asynchronous_Notification,docs/components/core/system_syscall.md,8.1.1. 仮想割り込みID,265
Asynchronous_Notification,docs/components/interface/interface_wit.md,3. 共通データ構造,15
Asynchronous_Notification,docs/components/interface/interface_wit.md,3.1 基礎インターフェイス,17
Asynchronous_Notification,docs/components/interface/interface_wit.md,6. 非同期通知メカニズム,149
Asynchronous_Notification,docs/requires/requirement_list.md,3. 命題リスト,32
Asynchronous_Notification,docs/requires/requirement_list.md,3.1 機能要求,34
Asynchronous_Notification,docs/requires/requirement_list.md,3.1.3 システム連携 (IPC/HAL/WIT),81
BufferedLogging,docs/components/core/os_coos.md,2. アーキテクチャ分類,7
BufferedLogging,docs/components/core/system_config_details.md,2. マクロ一覧,7
BufferedLogging,docs/components/core/system_config_details.md,2.5 ロギング,87
BufferedLogging,docs/components/core/system_config_details.md,2.6 デバッガ,93
BufferedLogging,docs/components/core/system_config_details.md,2.7 型定義・予約値,100
BufferedLogging,docs/components/core/system_logging.md,1. コンセプト,3
BufferedLogging,docs/components/core/system_logging.md,4. 動的モデル,55
BufferedLogging,docs/components/core/system_logging.md,4.1 アルゴリズム,57
BufferedLogging,docs/components/core/system_logging.md,4.4 状態遷移図,86
BufferedLogging,docs/components/core/system_logging.md,5. インターフェイス定義,120
BufferedLogging,docs/components/core/system_logging.md,5.1 公開API,122
BufferedLogging,docs/components/core/system_logging.md,6. 制約達成の方策,153
BufferedLogging,docs/components/core/system_logging.md,6.1 性能制約と方策,155
BufferedLogging,docs/components/core/system_logging.md,6.3 安全性制約と方策,165
BufferedLogging,docs/components/core/system_logging.md,ログイベント記録 (`log_event`),126
BufferedLogging,docs/requires/requirement_list.md,3. 命題リスト,32
BufferedLogging,docs/requires/requirement_list.md,3.1 機能要求,34
BufferedLogging,docs/requires/requirement_list.md,3.1.4 デバッグ・運用,109
COOS_Deterministic,docs/components/core/os_scheduler.md,1. コンセプト,3
COOS_Deterministic,docs/requires/requirement_list.md,3. 命題リスト,32
COOS_Deterministic,docs/requires/requirement_list.md,3.1 機能要求,34
COOS_Deterministic,docs/requires/requirement_list.md,3.1.2 タスク管理・通信 (COOS),64
COOS_Scheduling_Refine,docs/components/core/os_scheduler.md,5. インターフェイス設計,110
COOS_Scheduling_Refine,docs/components/core/os_scheduler.md,6. 設計判断 (ADR),196
COOS_Scheduling_Refine,docs/components/core/os_scheduler.md,タスク生成 (`spawn`),129
COOS_Scheduling_Refine,docs/requires/requirement_list.md,3. 命題リスト,32
COOS_Scheduling_Refine,docs/requires/requirement_list.md,3.1 機能要求,34
COOS_Transparent,docs/components/core/os_scheduler.md,3. 静的モデル,11
COOS_Transparent,docs/components/core/os_scheduler.md,3.1 データ構造,13
COOS_Transparent,docs/components/core/os_scheduler.md,3.2 内部ブロック図,19
COOS_Transparent,docs/requires/requirement_list.md,3. 命題リスト,32
COOS_Transparent,docs/requires/requirement_list.md,3.1 機能要求,34
COOS_Transparent,docs/requires/requirement_list.md,3.1.4 デバッグ・運用,109
CSPCommunication,docs/components/core/os_coos.md,1. コンセプト,3
CSPCommunication,docs/components/core/os_coos.md,3. 静的モデル,18
CSPCommunication,docs/components/core/os_coos.md,3.2 内部ブロック図,26
CSPCommunication,docs/components/core/os_scheduler.md,1. コンセプト,3
CSPCommunication,docs/components/core/system_syscall.md,5. システムコールID,84
CSPCommunication,docs/components/core/system_syscall.md,5.1. カテゴリ一覧,87
CSPCommunication,docs/components/core/system_syscall.md,5.6. IPC (`0x40`-`0x4F`),141
CSPCommunication,docs/requires/requirement_list.md,3. 命題リスト,32
CSPCommunication,docs/requires/requirement_list.md,3.1 機能要求,34
CSPCommunication,docs/requires/requirement_list.md,3.1.2 タスク管理・通信 (COOS),64
CSP_Handoff,docs/components/core/os_coos.md,3. 静的モデル,18
CSP_Handoff,docs/components/core/os_coos.md,4. 動的モデル,84
CSP_Handoff,docs/components/core/os_coos.md,4.1 アルゴリズム,86
CSP_Handoff,docs/components/core/os_coos.md,4.2 状態遷移図 (SMD: COOS システムレベル),107
CSP_Handoff,docs/components/core/os_coos.md,6. 形式検証（TLA+ / 直交表）,239
CSP_Handoff,docs/components/interface/ipc_router.md,5. インターフェイス定義,368
CSP_Handoff,docs/components/interface/ipc_router.md,5.1 公開API,370
CSP_Handoff,docs/requires/requirement_list.md,3. 命題リスト,32
CSP_Handoff,docs/requires/requirement_list.md,3.1 機能要求,34
CSP_Handoff,docs/requires/requirement_list.md,3.1.2 タスク管理・通信 (COOS),64
