file_path,heading,keywords,policy_P01,policy_P02,review_traceability,review_quality,review_api,llm_checked
docs/requires/requirement_list.md,1. 概要,,N/A,N/A,N/A,N/A,N/A,0
docs/requires/requirement_list.md,2.1 ユースケース図,,N/A,N/A,N/A,N/A,N/A,0
docs/requires/requirement_list.md,2.2 主要シナリオ,,N/A,N/A,N/A,N/A,N/A,0
docs/requires/requirement_list.md,2. ユースケース,,N/A,N/A,N/A,N/A,N/A,0
docs/requires/requirement_list.md,3.1.1 WASM実行 (vSoC),"JIT_CopyAndPatch,JIT_DoubleBuffer_Cache,PositionIndependentCode,NativeAPI_Export,JIT_Encoder,MultiModule_Support,ThreadedInterpreter,JIT_LazyChaining,Interpreter_LazyJITSwitch,vMMIO_TrapAndEmulate,VDMA,JIT_ReverseCompilationOrder,DynamicMmap,EnvironmentPointer,ROMParsing,MemoryBoundaryCheck,WasmPageAlignment,UnifiedAccessModel,Wasm32Only,FastAddressCheck,vMMIO_Isolation,JIT_RuntimeAPI_Fallback,InterpreterContextStackless,SinglePassCompilation",N/A,N/A,N/A,N/A,N/A,0
docs/requires/requirement_list.md,3.1.2 タスク管理・通信 (COOS),"CooperativeMultitasking,GLOBAL_UseCpp23Library,GLOBAL_UseCpp20Coroutine,LowOverheadSwitch,COOS_Deterministic,CSPCommunication,IPC_ZeroCopy,GLOBAL_InterruptWakeup,CSP_Handoff,GLOBAL_PeriodicTask,GLOBAL_IdleDetection,DirectContextSwitch,TaskPollInterruptFlag",N/A,N/A,N/A,N/A,N/A,0
docs/requires/requirement_list.md,3.1.3 システム連携 (IPC/HAL/WIT),"IPCRouter,IPC_HandleBased,URIAbstraction,IPCDI,RoleBasedAccessControl,OwnershipTransfer,DictionaryBasedIPC,LowLatencyLookup,Fast_Path_GPIO,Asynchronous_Notification,IPCRegistry,ServiceFacade,WIT_Interface_Spec,WIT_Common_Types,WIT_Interface_Purpose,Trap_Interface,Syscall_Mapping,HAL_Interface,Syscall_Return_Value,Errorcode_To_Strategy,WASI_Implementation,TypeSafeMessaging,PhysicalPassthrough",N/A,N/A,N/A,N/A,N/A,0
docs/requires/requirement_list.md,3.1.4 デバッグ・運用,"COOS_Transparent,Debug_Integrated,Debug_Standard_Env,RSPMinimalSet,BufferedLogging,RSP_Transport_Selectable,DebuggerLabelTableSwitch",N/A,N/A,N/A,N/A,N/A,0
docs/requires/requirement_list.md,3.1.5 共通基盤・実装パターン,,N/A,N/A,N/A,N/A,N/A,0
docs/requires/requirement_list.md,3.1 機能要求,"JIT_CopyAndPatch,JIT_DoubleBuffer_Cache,PositionIndependentCode,NativeAPI_Export,JIT_Encoder,MultiModule_Support,ThreadedInterpreter,JIT_LazyChaining,Interpreter_LazyJITSwitch,vMMIO_TrapAndEmulate,VDMA,JIT_ReverseCompilationOrder,DynamicMmap,EnvironmentPointer,ROMParsing,MemoryBoundaryCheck,WasmPageAlignment,UnifiedAccessModel,Wasm32Only,FastAddressCheck,vMMIO_Isolation,JIT_RuntimeAPI_Fallback,InterpreterContextStackless,SinglePassCompilation,CooperativeMultitasking,GLOBAL_UseCpp23Library,GLOBAL_UseCpp20Coroutine,LowOverheadSwitch,COOS_Deterministic,CSPCommunication,IPC_ZeroCopy,GLOBAL_InterruptWakeup,CSP_Handoff,GLOBAL_PeriodicTask,GLOBAL_IdleDetection,DirectContextSwitch,TaskPollInterruptFlag,IPCRouter,IPC_HandleBased,URIAbstraction,IPCDI,RoleBasedAccessControl,OwnershipTransfer,DictionaryBasedIPC,LowLatencyLookup,Fast_Path_GPIO,Asynchronous_Notification,IPCRegistry,ServiceFacade,WIT_Interface_Spec,WIT_Common_Types,WIT_Interface_Purpose,Trap_Interface,Syscall_Mapping,HAL_Interface,Syscall_Return_Value,Errorcode_To_Strategy,WASI_Implementation,TypeSafeMessaging,PhysicalPassthrough,COOS_Transparent,Debug_Integrated,Debug_Standard_Env,RSPMinimalSet,BufferedLogging,RSP_Transport_Selectable,DebuggerLabelTableSwitch,HistoryBuffer,LightweightVerifier,COOS_Scheduling_Refine,vMMIO_TLB,ZeroCopyIndexing,IPC_DropHandler,JIT_Safepoint,Debugger_Jit_Flush,WASI_Async_Bridge,ConceptHarnessDI",N/A,N/A,N/A,N/A,N/A,0
docs/requires/requirement_list.md,3.2.1 パフォーマンス・効率,"LowLatencyJIT,JIT_ZeroCompileCostTheorem,SimpleJITArchitecture,JIT_RegisterMapping,ContextPointerRegister,Resource_Estimation_Model,ConsolidatedHeap,GLOBAL_StrictMemoryLimit,GLOBAL_IndependentHeap,GLOBAL_Policy_Memory,MemoryIsolation,ZeroRuntimeOverhead,Size_15KLOC,EliminateDataRace,CleanArchitecture,IoC,GLOBAL_ComponentHarness,GLOBAL_StaticScalability,WIT_First,Type_Vocabulary",N/A,N/A,N/A,N/A,N/A,0
docs/requires/requirement_list.md,[Template & Meta],,N/A,N/A,N/A,N/A,N/A,0
docs/requires/requirement_list.md,3.2.2 開発方針・品質,"Size_15KLOC,EliminateDataRace,CleanArchitecture,IoC,GLOBAL_ComponentHarness,GLOBAL_StaticScalability,WIT_First,Type_Vocabulary",N/A,N/A,N/A,N/A,N/A,0
docs/requires/requirement_list.md,3.2.3 移植性・互換性,,N/A,N/A,N/A,N/A,N/A,0
docs/requires/requirement_list.md,3.2 非機能要求,,N/A,N/A,N/A,N/A,N/A,0
